TournamentId,GameId,TournamentName,StartDate,EndDate,Location,Teamplay,TotalUSDPrize,GameName,Year
72929,534,2R Summer Cup,2025-07-06,2025-07-06,Europe,0,353.38,Fortnite,2025
72922,839,CYBERLIFE TEAM PLAY,2025-07-05,2025-07-06,"Moldova, Chisinau",1,1959.22,Counter-Strike 2,2025
72921,839,GangKui Cup Season 1,2025-07-05,2025-07-06,"China, Shanghai",1,10000.00,Counter-Strike 2,2025
72978,409,Twisty x Red Bull - Gaming Ground,2025-07-06,2025-07-06,Online,1,1765.95,Rocket League,2025
72930,534,Fill Mayhem,2025-07-05,2025-07-05,Europe,1,400.00,Fortnite,2025
73116,559,FunnieWars Hispanic July 5 2025,2025-07-05,2025-07-05,Online,1,1500.00,Minecraft,2025
72916,534,Stizo Cup All Stars,2025-07-04,2025-07-04,Europe,1,3705.85,Fortnite,2025
72910,839,Thunderpick World Championship 2025: SA Series #1,2025-06-27,2025-07-02,Online,1,25000.00,Counter-Strike 2,2025
72915,534,Clown Clash,2025-07-01,2025-07-01,Europe,1,300.00,Fortnite,2025
72909,839,Dust2.us Eagle Masters Series #2,2025-06-09,2025-06-30,North America,1,10000.00,Counter-Strike 2,2025
72914,534,Eympra Co-Ed Cup,2025-06-30,2025-06-30,North America,1,1000.00,Fortnite,2025
72913,534,Nicole Duo Cup #1,2025-06-30,2025-06-30,North America,1,445.00,Fortnite,2025
72723,839,Ace League Season 1,2025-06-27,2025-06-29,Europe,1,7090.11,Counter-Strike 2,2025
72565,510,Bé Yêu Cup 2025: 4v4 Random,2025-06-28,2025-06-29,"Hanoi, Vietnam",1,4100.38,Age of Empires,2025
72721,839,Cyber Clash,2025-05-27,2025-06-29,Russia,1,12720.00,Counter-Strike 2,2025
72726,839,Dust2.in Masters #23,2025-06-29,2025-06-29,India,1,1500.00,Counter-Strike 2,2025
72725,839,ELITE FE #4,2025-06-29,2025-06-29,Europe,1,1171.92,Counter-Strike 2,2025
73114,559,"Goofywars, June 29 2025",2025-06-29,2025-06-29,Online,1,50.00,Minecraft,2025
72724,839,Icon.X First Blood,2025-06-29,2025-06-29,Europe,1,615.25,Counter-Strike 2,2025
72722,839,Kantoteens All-Out Rambulan #2,2025-06-23,2025-06-29,Philippines,1,1147.90,Counter-Strike 2,2025
72912,534,OWN Valencia Trios,2025-06-29,2025-06-29,Spain,1,2461.01,Fortnite,2025
72919,231,PGL Wallachia Season 5,2025-06-21,2025-06-29,"Bucharest, Romania",1,1000000.00,Dota 2,2025
72911,534,Riviera Rumble 3,2025-06-29,2025-06-29,"France, Cannes",0,468.76,Fortnite,2025
72568,409,RLCS 2025 - Raleigh Major,2025-06-26,2025-06-29,"Raleigh, United States",1,351000.00,Rocket League,2025
72908,839,Urban Contenders #6,2025-06-26,2025-06-29,Europe,1,1500.00,Counter-Strike 2,2025
72926,534,Chapter 6 Season 3: FNCS Divisional Cup - Week 2: BR,2025-06-28,2025-06-28,Online,1,30000.00,Fortnite,2025
72917,534,Chapter 6 Season 3: FNCS Divisional Cup - Week 2: EU,2025-06-28,2025-06-28,Online,1,90000.00,Fortnite,2025
72924,534,Chapter 6 Season 3: FNCS Divisional Cup - Week 2: NA,2025-06-28,2025-06-28,Online,1,60000.00,Fortnite,2025
72925,534,Chapter 6 Season 3: FNCS Divisional Cup - Week 2: NAW,2025-06-28,2025-06-28,Online,1,30000.00,Fortnite,2025
72718,839,DACH CS Masters Season 3,2025-03-03,2025-06-28,"Austria, Salzburg",1,7031.52,Counter-Strike 2,2025
72720,839,Les Espoirs #4,2025-06-28,2025-06-28,France,1,1171.92,Counter-Strike 2,2025
72569,409,RLCS 2025 - 1v1 Raleigh Major,2025-06-28,2025-06-28,"Raleigh, United States",0,20000.00,Rocket League,2025
72719,839,Svenska Elitserien Spring 2025,2025-06-26,2025-06-28,"Sweden, Stockholm",1,24255.80,Counter-Strike 2,2025
72566,510,Bé Yêu Cup 2025: 2v2 Random,2025-06-24,2025-06-27,"Hanoi, Vietnam",1,3273.32,Age of Empires,2025
72979,409,Belgian Student League Season 7,2025-03-07,2025-06-27,Online,1,1758.58,Rocket League,2025
72709,839,BtcTurk GameFest 2025,2025-06-04,2025-06-27,"Turkey, Istanbul",1,28853.50,Counter-Strike 2,2025
72710,839,European Pro League Season 28: Division 2 (CS2),2025-06-10,2025-06-27,Online,1,10000.00,Counter-Strike 2,2025
72717,839,Gamers Club Liga Série A: June 2025,2025-06-05,2025-06-27,Online,1,1825.00,Counter-Strike 2,2025
72711,839,Spanish Circuit Valencia 2025,2025-06-27,2025-06-27,"Spain, Valencia",1,5846.80,Counter-Strike 2,2025
72905,839,CCT Season 3 SA Series #1,2025-06-14,2025-06-26,Online,1,20000.00,Counter-Strike 2,2025
72708,839,Gameinside.ua ROG Spring Cup 2025,2025-06-26,2025-06-26,Online,1,1682.10,Counter-Strike 2,2025
72904,839,United21 Season 33,2025-06-09,2025-06-26,Online,1,10000.00,Counter-Strike 2,2025
72716,534,Summer Girls Skirmish,2025-06-25,2025-06-25,Europe,1,320.00,Fortnite,2025
72814,839,Galaxy Battle 2025 // Phase 3,2025-06-11,2025-06-24,Online,1,50000.00,Counter-Strike 2,2025
72552,510,Bé Yêu Cup 2025: 1v1 Assyrians,2025-06-20,2025-06-23,"Hanoi, Vietnam",0,2296.37,Age of Empires,2025
72715,534,Dixie x Nut1g Co-Ed Trios,2025-06-23,2025-06-23,Europe,1,1000.00,Fortnite,2025
72707,839,Exort Series #12,2025-06-03,2025-06-23,Europe,1,10000.00,Counter-Strike 2,2025
72813,839,Gamers Club Liga Série B: June 2025,2025-06-11,2025-06-23,Online,1,235.65,Counter-Strike 2,2025
72812,839,Gamers Club Liga Série C: June 2025,2025-06-10,2025-06-23,Online,1,126.89,Counter-Strike 2,2025
72714,534,Suns Out Guns Out,2025-06-23,2025-06-23,Europe,1,1000.00,Fortnite,2025
72706,839,ANZC Locals Brisbane 2025,2025-06-21,2025-06-22,"Australia, Brisbane",1,2595.20,Counter-Strike 2,2025
72903,839,BLAST.tv Austin Major 2025,2025-06-03,2025-06-22,"United, States Austin",1,1250000.00,Counter-Strike 2,2025
72873,839,CCT Season 3 EU Series #3,2025-06-10,2025-06-22,Online,1,50000.00,Counter-Strike 2,2025
72705,839,GPlay Premier Hanoi Final 2025,2025-06-15,2025-06-22,"Vietnam, Hà Nội",1,680.00,Counter-Strike 2,2025
72980,409,K&H HNEC - Hungarian Open 2025 Spring,2025-05-10,2025-06-22,Online,1,1288.29,Rocket League,2025
73041,510,Liên Tỉnh: Thái Nguyên Event #1,2025-06-21,2025-06-22,"Thái Nguyên, Vietnam",0,612.35,Age of Empires,2025
72713,534,M8 1V1 Invitational,2025-06-22,2025-06-22,Europe,0,2304.94,Fortnite,2025
72712,534,Masters Esport Festival,2025-06-21,2025-06-22,"France, Saint-Raphaël",0,1094.86,Fortnite,2025
72571,409,Monthly Cash Cup: 1v1 June - APAC,2025-06-21,2025-06-22,Online,0,2300.00,Rocket League,2025
72576,409,Monthly Cash Cup: 1v1 June - EU,2025-06-20,2025-06-22,Online,0,3900.00,Rocket League,2025
72570,409,Monthly Cash Cup: 1v1 June - NA,2025-06-20,2025-06-22,Online,0,3900.00,Rocket League,2025
72574,409,Monthly Cash Cup: 1v1 June - OCE,2025-06-20,2025-06-22,Online,0,3200.00,Rocket League,2025
72575,409,Monthly Cash Cup: 1v1 June - SAM,2025-06-20,2025-06-22,Online,0,3200.00,Rocket League,2025
72572,409,Monthly Cash Cup: 1v1 June - SSA,2025-06-21,2025-06-22,Online,0,2300.00,Rocket League,2025
72704,839,The Proving Grounds Season 1,2025-06-06,2025-06-22,Europe,1,86435.27,Counter-Strike 2,2025
72703,839,Betera Esports League,2025-06-21,2025-06-21,"Belarus, Minsk",1,1526.96,Counter-Strike 2,2025
72901,534,Chapter 6 Season 3: FNCS Divisional Cup - Week 1: EU,2025-06-21,2025-06-21,Online,1,90000.00,Fortnite,2025
72902,534,Chapter 6 Season 3: FNCS Divisional Cup - Week 1: NAC,2025-06-21,2025-06-21,Online,1,60000.00,Fortnite,2025
72573,409,Monthly Cash Cup: 1v1 June - MENA,2025-06-19,2025-06-21,Online,0,3200.00,Rocket League,2025
72536,510,Last Dog Barking,2025-05-12,2025-06-20,Online,0,400.00,Age of Empires,2025
72537,510,Bé Yêu Cup 2025: 1v1 Random,2025-06-08,2025-06-19,Online,0,1264.30,Age of Empires,2025
72981,409,Colleague PreJump III,2025-06-18,2025-06-19,Online,1,2000.00,Rocket League,2025
72918,839,UKIC League Season 6: Division 2,2025-06-05,2025-06-19,"United Kingdom, London",1,1676.40,Counter-Strike 2,2025
73194,409,Feer Showmatch: Atow vs diaz,2025-06-18,2025-06-18,Online,0,500.00,Rocket League,2025
73193,409,Feer Showmatch: Vatira vs. Evoh,2025-06-18,2025-06-18,Online,0,500.00,Rocket League,2025
72695,839,UKIC League Season 6: Division 1,2025-04-22,2025-06-17,"United Kingdom, London",1,3390.28,Counter-Strike 2,2025
72900,839,ESEA NA CS2 Advanced Season 53,2025-04-07,2025-06-16,Online,1,20600.00,Counter-Strike 2,2025
72701,534,Madrid In Game - Gran Final 2025,2025-06-16,2025-06-16,Europe,1,2354.38,Fortnite,2025
72899,839,ESEA AS CS2 Open Season 53,2025-04-07,2025-06-15,Online,1,1000.00,Counter-Strike 2,2025
72898,839,ESEA EU CS2 Advanced Season 53,2025-04-07,2025-06-15,Online,1,20600.00,Counter-Strike 2,2025
72897,839,ESEA EU CS2 Entry Season 53,2025-04-07,2025-06-15,Online,1,2400.00,Counter-Strike 2,2025
72896,839,ESEA EU CS2 Intermediate Season 53,2025-04-07,2025-06-15,Online,1,5500.00,Counter-Strike 2,2025
72895,839,ESEA EU CS2 Main Season 53,2025-04-07,2025-06-15,Online,1,9400.00,Counter-Strike 2,2025
72894,839,ESEA EU CS2 Open10 Season 53,2025-04-07,2025-06-15,Online,1,1850.00,Counter-Strike 2,2025
72893,839,ESEA ME CS2 Open Season 53,2025-04-07,2025-06-15,Online,1,1000.00,Counter-Strike 2,2025
72892,839,ESEA NA CS2 Main Season 53,2025-04-07,2025-06-15,Online,1,10000.00,Counter-Strike 2,2025
72891,839,ESEA NA CS2 Open10 Season 53,2025-04-07,2025-06-15,Online,1,2650.00,Counter-Strike 2,2025
72890,839,ESEA OCE CS2 Open Season 53,2025-04-07,2025-06-15,Online,1,2000.00,Counter-Strike 2,2025
72889,839,ESEA SA CS2 Open Season 53,2025-04-07,2025-06-15,Online,1,1500.00,Counter-Strike 2,2025
72888,839,ESEA ZA CS2 Open Season 53,2025-04-07,2025-06-15,Online,1,1000.00,Counter-Strike 2,2025
72691,839,Glitched Masters 2025,2025-06-13,2025-06-15,"Sweden, Jönköping",1,16712.24,Counter-Strike 2,2025
72693,839,Glitched Masters 2025: B-Tournament,2025-06-14,2025-06-15,"Sweden, Jönköping",1,527.20,Counter-Strike 2,2025
72692,839,National Student Esports League 2025,2025-06-14,2025-06-15,"Russia, Moscow",1,14033.60,Counter-Strike 2,2025
72694,839,OlyBet Tournament #3,2025-06-15,2025-06-15,Estonia,1,1617.75,Counter-Strike 2,2025
73110,559,Penguin SG 4v4 Tournament #3,2025-06-15,2025-06-15,Online,1,200.00,Minecraft,2025
72690,839,Tradeit League FE Masters #7,2025-06-06,2025-06-15,Europe,1,12500.00,Counter-Strike 2,2025
72518,409,Urban Series #8,2025-06-14,2025-06-15,"Paris, France",1,1155.17,Rocket League,2025
72700,534,Xplosion 1 Damage = 1$ Dollar,2025-06-15,2025-06-15,Europe,1,8000.00,Fortnite,2025
72687,839,Dust2.dk Ligaen Season 29,2025-04-21,2025-06-14,Online,1,12389.60,Counter-Strike 2,2025
72920,853,GeoGuessr World Cup 2025 - EMEA Major,2025-06-13,2025-06-14,"Sweden, Jönköping",0,25000.00,GeoGuessr,2025
72699,534,Lolly Co-Ed Trio Victory Cup #1,2025-06-14,2025-06-14,Europe,1,175.00,Fortnite,2025
72689,839,NSB Summer Cup 2025,2025-06-14,2025-06-14,"Kazakhstan, Atyrau",1,627.20,Counter-Strike 2,2025
72688,839,Odyssey Cup 2025,2025-05-13,2025-06-14,"Brazil, São Paulo",1,27417.76,Counter-Strike 2,2025
72887,839,Perfect World National League Spring 2025,2025-05-31,2025-06-14,China,1,3202.52,Counter-Strike 2,2025
72517,409,Quantum Esports Series 2025 - Finals,2025-06-14,2025-06-14,Online,1,10000.00,Rocket League,2025
